Rom Address (Hex)	Derscription	Enemy ID 1	Min Count	Extra	Enemy ID 2	Min Count	Extra	Enemy ID 3	Min Count	Extra	Enemy ID 4	Min Count	Extra
19DFBC	Holy Plains	00000000	00000001	00000002									
19DFC8	Holy Plains	00000001	00000001	00000001									
19DFD4	Holy Plains	00000003	00000001	00000000									
19DFE0	Holy Plains	00000001	00000003	00000001									
19DFEC	Holy Plains	00000002	00000002	00000001									
19DFF8	Holy Plains	00000005	00000001	00000000	00000004	00000001	00000000						
19E010	Holy Plains	00000003	00000001	00000000	00000000	00000002	00000001						
19E028	Holy Plains	00000000	00000001	00000001	00000002	00000001	00000000						
19E040	Holy Plains	00000006	00000001	00000000									
1CC74C	Dondoran Flats	00000002	00000001	00000001									
1CC758	Dondoran Flats	00000004	00000003	00000002									
1CC764	Dondoran Flats	00000003	00000001	00000001									
1CC770	Dondoran Flats	00000003	00000001	00000000	00000004	00000002	00000001						
1CC788	Dondoran Flats	00000000	00000002	00000002									
1CC794	Dondoran Flats	00000000	00000002	00000000	00000004	00000003	00000000						
1CC7AC	Dondoran Flats	00000001	00000001	00000000									
1CC7B8	Dondoran Flats	00000001	00000001	00000000	00000008	00000002	00000000						
1CC7D0	Dondoran Flats	00000000	00000002	00000001	00000008	00000001	00000000						
1CC7E8	Dondoran Flats	0000000E	00000001	00000001									
253B00	West Carmagh	00000000	00000003	00000002									
253B0C	West Carmagh	00000006	00000001	00000002									
253B18	West Carmagh	00000007	00000002	00000002									
253B24	West Carmagh	00000008	00000001	00000002									
253B30	West Carmagh	00000009	00000001	00000002									
253B3C	West Carmagh	0000000A	00000002	00000002									
253B48	West Carmagh	0000000B	00000001	00000002									
253B54	West Carmagh	00000000	00000002	00000001	00000006	00000001	00000001						
253B6C	West Carmagh	00000007	00000001	00000001	00000006	00000001	00000002						
253B84	West Carmagh	0000000B	00000001	00000000	00000006	00000001	00000001						
253B9C	West Carmagh	0000000B	00000001	00000000	00000009	00000001	00000001						
253BB4	West Carmagh	00000000	00000001	00000000	0000000A	00000001	00000000	00000006	00000001	00000000			
253BD8	West Carmagh	00000009	00000001	00000001	00000008	00000001	00000001						
2AA204	East Limelin	00000007	00000001	00000002									
2AA210	East Limelin	00000008	00000002	00000004									
2AA21C	East Limelin	00000009	00000002	00000003									
2AA228	East Limelin	0000000A	00000001	00000003									
2AA234	East Limelin	00000004	00000001	00000002									
2AA240	East Limelin	00000005	00000001	00000001									
2AA24C	East Limelin	00000004	00000001	00000000	00000008	00000001	00000001						
2AA264	East Limelin	00000005	00000001	00000000	00000008	00000001	00000001						
2AA27C	East Limelin	00000007	00000001	00000000	00000005	00000001	00000000						
2AA294	East Limelin	0000000A	00000002	00000000	00000007	00000001	00000000						
2AA2AC	East Limelin	0000000A	00000001	00000001	00000007	00000001	00000000	00000004	00000001	00000000			
346FEC	Dindom Dries	00000000	00000002	00000001									
346FF8	Dindom Dries	00000003	00000001	00000001									
347004	Dindom Dries	00000003	00000003	00000001									
347010	Dindom Dries	0000000A	00000002	00000003									
34701C	Dindom Dries	00000001	00000001	00000002									
347028	Dindom Dries	00000002	00000001	00000004									
347034	Dindom Dries	00000001	00000001	00000001	00000002	00000001	00000002						
34704C	Dindom Dries	00000000	00000001	00000000	00000003	00000001	00000002						
347064	Dindom Dries	00000002	00000001	00000002	00000003	00000001	00000002						
34707C	Dindom Dries	00000003	00000001	00000000	0000000A	00000001	00000000						
347094	Dindom Dries	0000000A	00000001	00000001	00000002	00000001	00000001						
3CB31C	Baragoon Moor	00000005	00000002	00000002									
3CB328	Baragoon Moor	00000006	00000001	00000000									
3CB334	Baragoon Moor	00000007	00000002	00000002									
3CB340	Baragoon Moor	00000008	00000001	00000000									
3CB34C	Baragoon Moor	0000000B	00000002	00000001									
3CB358	Baragoon Moor	0000000C	00000002	00000001									
3CB364	Baragoon Moor	00000006	00000001	00000000	00000005	00000001	00000001						
3CB37C	Baragoon Moor	0000000B	00000001	00000001	0000000C	00000001	00000001						
3CB394	Baragoon Moor	00000004	00000002	00000001	00000005	00000001	00000001						
3CB3AC	Baragoon Moor	00000006	00000001	00000000	00000007	00000001	00000001						
3E3064	Isle Of Skye	00000009	00000001	00000002									
