Region Area	ROM ADDR	RAM ADDR	X Min	X Max	Z Min	Z Max	Preset Count	Pack 1	Pack 2	Pack 3	Pack 4	Pack 5	Pack 6	Pack 7
Holy Plains	19E290	001460B0	FD9C	FC04	0702	06CA	0004	0005	0000	0001	0002	0000	0000	0000
Holy Plains	19E2A8	001460C8	F795	0559	0607	0378	0002	0007	0004	0000	0000	0000	0000	0000
Holy Plains	19E2C0	001460E0	FD9C	02CD	0515	04CE	0004	0007	0005	0002	0004	0000	0000	0000
Holy Plains	19E2D8	001460F8	FEEC	F8C5	05F4	033F	0002	0000	0001	0000	0000	0000	0000	0000
Holy Plains	19E2F0	00146110	F7D8	0097	05C4	04C2	0003	0000	0003	0002	0000	0000	0000	0000
Connor Forest	7C3E68	0014C3C8	FC90	FD34	0776	06E8	0007	0000	0002	0003	0004	0005	0006	0007
Connor Forest	7C3E80	0014C3E0	0406	FEEA	05B5	0638	0006	0000	0001	0002	0003	0005	0008	0000
Dondoran Flats	1CC940	0013E400	0014	019E	042B	04FC	0005	0004	0006	0007	0008	0000	0000	0000
Dondoran Flats	1CC958	0013E418	FF4C	FCA4	04F7	04FA	0004	0004	0000	0005	0003	0000	0000	0000
Dondoran Flats	1CC970	0013E430	FA49	FCA4	0503	035F	0004	0000	0003	0001	0009	0000	0000	0000
Glencoe Forest	1CC988	0013E448	FCB2	F945	0501	035F	0003	0003	0001	0002	0000	0000	0000	0000
Glencoe Forest	7F1A4C	0013D95C	F9BD	FDC3	02E2	05FA	0004	0000	0002	0003	0005	0000	0000	0000
Glencoe Forest	7F1A64	0013D974	FC9F	FDC3	041D	05FA	0003	0001	0002	0004	0000	0000	0000	0000
Glencoe Forest	7F1A7C	0013D98C	00BC	FCF6	0180	0609	0004	0000	0002	0003	0005	0000	0000	0000
West Carmaugh	253DAC	0015ACCC	FC77	030C	06EA	04FD	0006	0005	0006	0003	0004	000A	000C	0000
West Carmaugh	253DC4	0015ACE4	FD9A	FC69	0556	033B	0006	0000	0001	0002	0007	0008	0004	0000
West Carmaugh	253DDC	0015ACFC	FB26	FC68	0279	04FD	0007	0002	0001	0005	0008	000B	0006	0003
West Carmaugh	253DF4	0015AD14	FD9A	FFA4	0666	0368	0006	0000	0001	0002	0005	0007	0008	0000
Cull Hazard	6C6940	0016EF60	010E	FA00	01BE	04EB	0001	0004	0000	0000	0000	0000	0000	0000
Cull Hazard	6C6958	0016EF78	033D	F745	0A77	07ED	0005	0000	0003	0005	0006	0000	0000	0000
Cull Hazard	6C6970	0016EF90	0686	E5FE	08AF	060B	0001	0000	0000	0000	0000	0000	0000	0000
Cull Hazard	6C6988	0016EFA8	FF4B	F9F9	01B7	01EF	0001	0004	0000	0000	0000	0000	0000	0000
Cull Hazard	6C69A0	0016EFC0	0C50	EEC7	00E6	078E	0001	0005	0000	0000	0000	0000	0000	0000
Windward Forest	82530C	001435CC	0231	FCEA	02C7	02F1	0007	0000	0001	0002	0003	0007	0009	000A
Windward Forest	825324	001435E4	0231	FCEA	02C7	02F1	0007	0000	0001	0002	0003	0007	0009	000A
Windward Forest	82533C	001435FC	FC07	FBE6	047A	04BE	0007	0000	0001	0002	0003	0007	0009	000A
Windward Forest	825354	00143614	FC07	FBE6	047A	04BE	0007	0000	0001	0002	0003	0007	0009	000A
Windward Forest	82536C	0014362C	FC07	00A4	0506	0468	0006	0001	0003	0004	0005	0006	0008	0000
Windward Forest	825384	00143644	FC07	00A4	0506	0468	0006	0001	0003	0004	0005	0006	0008	0000
Blue Cave	6676B8	0016DA78	03E0	E70A	0677	0769	0001	0004	0000	0000	0000	0000	0000	0000
Blue Cave	6676D0	0016DA90	043B	DE15	0466	08F5	0004	0000	0005	0008	0009	0000	0000	0000
Blue Cave	6676E8	0016DAA8	FB49	EE73	11BB	1344	0006	0000	0001	0002	0003	0006	0007	0000
Isle of Skye	3E3124	00127924	00EA	FD94	022B	01EF	0006	0000	0001	0002	0003	0004	0005	0000
Isle of Skye	3E313C	0012793C	0112	FFAB	00C5	010F	0006	0000	0001	0002	0003	0004	0005	0000
Isle of Skye	3E3154	00127954	0112	FFAB	00C5	010F	0006	0000	0001	0002	0003	0004	0005	0000
East Limelin	2AA58C	0014196C	F67E	FDEC	0798	0462	0005	0000	0004	0003	0009	000A	0000	0000
East Limelin	2AA5A4	00141984	FE16	FDF1	03F7	0463	0005	0000	0004	0002	0005	0008	0000	0000
East Limelin	2AA5BC	0014199C	020D	FDB9	02AB	02CE	0004	0002	0001	0004	0006	0000	0000	0000
East Limelin	2AA5D4	001419B4	020D	0087	062F	03E6	0004	0001	0005	0002	0007	0000	0000	0000
Baragoon Tunnel	720CB4	0016A0C4	FF98	F6E9	0AA3	0792	0007	0000	0001	0002	0003	0004	0005	0006
Baragoon Tunnel	720CCC	0016A0DC	E953	FC33	0B27	0627	0004	0000	0002	0003	0006	0000	0000	0000
Baragoon Tunnel	720CE4	0016A0F4	0A3C	F77E	0170	02F4	0004	0002	0003	0001	0004	0000	0000	0000
Dindom Dries	347850	0015F130	F6CC	FF4D	0528	03D6	0005	0002	0003	0005	0008	000A	0000	0000
Dindom Dries	347868	0015F148	F6C7	F9D2	0535	057B	0004	0001	0002	0003	0009	0000	0000	0000
Dindom Dries	347880	0015F160	FD87	FCA0	020F	056D	0004	0001	0005	0002	0003	0000	0000	0000
Dindom Dries	347898	0015F178	FF95	F832	061C	0A0C	0005	0000	0005	0002	0004	0007	0000	0000
Dindom Dries	3478B0	0015F190	0443	023E	0B2B	0B2B	0006	0004	0005	0002	0000	0006	0008	0000
Boil Hole	74499C	00133A3C	FDF1	F9E9	081E	0A6B	0004	0000	0001	0004	0005	0000	0000	0000
Boil Hole	7449B4	00133A54	0909	F9DB	09CE	0A6B	0004	0000	0001	0004	0005	0000	0000	0000
Boil Hole	7449CC	00133A6C	0651	F9DD	0151	0A86	0001	0003	0000	0000	0000	0000	0000	0000
Boil Hole	7449E4	00133A84	080A	F900	00E8	0C09	0003	0001	0000	0006	0000	0000	0000	0000
Boil Hole	7449FC	00133A9C	12F2	FA03	037C	03CB	0003	0001	0000	0006	0000	0000	0000	0000
Boil Hole	744A14	00133AB4	12F2	FDCE	06FA	0AA3	0004	0000	0001	0004	0005	0000	0000	0000
Baragoon Moor 1	3CB4BC	0016D94C	FE3D	FFD4	0339	005D	0001	0004	0000	0000	0000	0000	0000	0000
Baragoon Moor 1	3CB4D4	0016D964	FE3D	0031	016B	0136	0003	0002	0007	0009	0000	0000	0000	0000
Baragoon Moor 1	3CB4EC	0016D97C	FFA8	0031	01CE	0136	0003	0002	0007	0009	0000	0000	0000	0000
Baragoon Moor 1	3CB504	0016D994	0176	FE8B	0214	02C0	0004	0000	0001	0003	0009	0000	0000	0000
Baragoon Moor 1	3CB51C	0016D9AC	FD5A	FEA2	00E3	02DE	0003	0005	0006	0008	0000	0000	0000	0000
Baragoon Moor 2	3CB48C	0016D91C	FBA8	FE6C	02D3	01BA	0003	0005	0006	0008	0000	0000	0000	0000
Baragoon Moor 2	3CB4A4	0016D934	F9A5	FDE0	0203	02B8	0005	0005	0006	0008	0004	0002	0000	0000
Brannoch 1	7876B8	00152A48	FFD5	FE2C	0189	01DB	0003	0000	0001	0002	0000	0000	0000	0000
Brannoch 2	7876D0	00152A60	FE06	FD76	0263	02DC	0003	0000	0001	0002	0000	0000	0000	0000
Brannoch 3	7876E8	00152A78	FEE8	FF5C	02FC	021D	0003	0000	0001	0002	0000	0000	0000	0000
Brannoch 4	787700	00152A90	FF6F	FDD4	020D	0261	0003	0000	0001	0002	0000	0000	0000	0000
Brannoch 5	787718	00152AA8	FE8C	FE2E	02E2	027F	0003	0000	0001	0002	0000	0000	0000	0000
Brannoch 6	787730	00152AC0	FFBD	FFBC	02E2	0132	0003	0000	0001	0002	0000	0000	0000	0000
Mammon 1	853224	0013DC24	FE86	FE62	031F	0343	0003	0000	0002	0003	0000	0000	0000	0000
Mammon 2	85323C	0013DC9C	FE86	FE62	031F	0343	0004	0000	0001	0002	0003	0000	0000	0000
Mammon 3	853254	0013DC54	FE56	FE5E	034F	034B	0005	0000	0001	0002	0003	0004	0000	0000
Mammon 4	85329C	0013DC3C	FE86	FE62	031F	0343	0004	0000	0002	0003	0004	0000	0000	0000
Mammon 5	853254	0013DC6C	FE56	FE5E	034F	034B	0005	0000	0001	0002	0003	0004	0000	0000
Mammon 6	85326C	0013DCB4	FE7E	FDCC	034F	03DA	0005	0000	0001	0002	0003	0004	0000	0000
