Input,Speed
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.20010
9,0.22493
10,0.25019
11,0.27502
12,0.29973
13,0.32499
14,0.34982
15,0.37507
16,0.39990
17,0.42504
18,0.44987
19,0.47512
20,0.49995
21,0.52521
22,0.54992
23,0.57475
24,0.60001
25,0.62484
26,0.65009
27,0.67480
28,0.70006
29,0.72489
30,0.75014
31,0.77485
32,0.80011
33,0.82494
34,0.85020
35,0.87503
36,0.89974
37,0.92499
38,0.94982
39,0.97508
40,0.99991
41,1.02516
42,1.04987
43,1.07513
44,1.09996
45,1.12522
46,1.14993
47,1.17476
48,1.20001
49,1.22484
50,1.25010
51,1.27481
52,1.30006
53,1.32489
54,1.35015
55,1.37498
56,1.40011
57,1.42495
58,1.44978
59,1.47503
60,1.49986
61,1.52403
62,1.54874
63,1.57411
64,1.59882
65,1.62420
66,1.64891
67,1.67429
68,1.69900
69,1.72425
70,1.74908
71,1.77379
72,1.79917
73,1.82388
74,1.84926
75,1.87397
76,1.89934
77,1.92405
78,1.94943
79,1.97414
80,1.99952
81,1.99952
82,1.99952
83,1.99952
84,1.99952
85,1.99952
86,1.99952
87,1.99939
88,1.99939
89,1.99939
90,1.99939
91,1.99939
92,1.99939
93,1.99939
94,1.99939
95,1.99939
96,1.99939
97,1.99939
98,1.99939
99,1.99939
100,1.99939
101,1.99939
102,1.99939
103,1.99939
104,1.99939
105,1.99939
106,1.99939
107,1.99939
108,1.99939
109,1.99939
110,1.99939
111,1.99939
112,1.99939
113,1.99939
114,1.99939
115,1.99939
116,1.99939
117,1.99939
118,1.99939
119,1.99939
120,1.99939
121,1.99939
122,1.99939
123,1.99939
124,2.00006
125,2.00006
126,2.00006
127,2.00006
