Hexadecimal	Level Req	Spell Rule	Menu Steps	Menu Path 1/2	Menu Path 3/4	Range	Base Damage	Accuracy	Spell Type	Projectile Path	Projectile Height	Auto Hit	Target	????	Float Size	????	Hits	Hit Delay	Start Delay	Starting  Location	Homing Intensity	Angle?	Direction?	Speed Desired	Speed Initial	Compress/ Vampire	Power Staff/ Restriction	Movement/ Agility	Silence/ Search	Barrier/ Confusion	Defense/ ????	????	????	????
00D4BA60 Fire Ball Lv1	0001	0009	0001	0000	0000	0009	00F0	0064	0000	0000	0000	0000	0000	0000	40C0	0000	0001	0000	0000	0003	0002	0000	0000	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BAA4 Fire Ball Lv2	0004	0009	0002	0000	0000	000A	00BE	0064	0000	0000	0000	0000	0000	0000	40C0	0000	0002	0000	0000	0003	0002	0000	0000	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BAE8 Power Staff Lv1	0007	0001	0002	0001	0000	000A	0000	0064	0005	0001	0000	0001	0002	0000	4000	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0100	0000	0000	0000	0000	0000	0000	0000
00D4BB2C Homing Arrow Lv1	000A	000D	0002	0003	0000	0019	0032	0064	0000	0000	0000	0000	0000	0000	4000	0000	0003	0003	0003	0005	0003	0000	0005	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BB70 Hot Steam Lv1	000D	0025	0002	0002	0000	0008	0140	0064	0000	0001	0002	0000	0001	0000	4170	0000	0001	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BBB4 Fire Ball Lv3	0010	0009	0003	0000	0000	000B	00A8	0064	0000	0000	0000	0000	0000	0000	40C0	0000	0003	0000	0000	0003	0002	0000	0000	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BBF8 Compression	0013	0011	0003	0000	0300	0001	0000	004B	0005	0001	0000	0001	0000	0000	3F80	0000	0001	0000	0000	0006	0000	0000	0000	0003	0003	0100	0000	0000	0000	0000	0000	0000	0000	0000
00D4BC3C Power Staff Lv2	0016	0001	0003	0001	0100	0001	0000	0064	0005	0001	0000	0001	0002	0000	3F80	0000	0001	0000	0000	0000	0000	0000	0000	0003	0003	0000	0200	0000	0000	0000	0000	0000	0000	0000
00D4BC80 Fire Pillar	0018	0005	0003	0000	0200	0008	0186	0064	0000	0001	0002	0000	0001	0000	4100	0000	0001	0000	0003	0003	0000	0000	0000	0003	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
00D4BCC4 Homing Arrow Lv2	001C	000D	0003	0003	0300	001E	0032	0064	0000	0000	0000	0000	0000	0000	4000	0000	0005	0007	0003	0000	0003	0000	0004	0004	0003	0000	0000	0000	0000	0000	0000	0000	0000	0000
